nr	id	cluster	status	bucket	target_scope	workstream	milestone	rule	heuristic	title_head
489	CHORE-348	CORE	planned	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Bauplan-Normativ der Plattformdienste: Inventur von Dispatch und Worklist, Entsc
488	FEAT-89	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Dispatch-Domaene: query, claim_next und withdraw bauen -- drei Plattformverben o
487	CHORE-347	CORE	done	assigned	kumbuka	Architektur	5	named-exception:architektur	no	Innenansicht der Plattform-Komponente festhalten: Revision 2 von platform-layer.
486	CHORE-346	HK	open	assigned	kumbuka	Architektur		named-exception:architektur	no	Extraktionsvollstaendigkeit von spec/docs/working/ pruefen, bevor der Ordner abg
485	CHORE-345	HK	open	deferred	jbaconsult			hk-heuristic:jba-keyword	yes	Methodikschicht neu schneiden: Entscheidungsverfahren, Doktrin-Zustaendigkeit, K
483	FEAT-88	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Die beiden fehlenden Modi des Graph-Validators: templates und der Index unter ge
482	CHORE-344	CORE	open	assigned	kumbuka	Architektur		named-exception:architektur	no	Kantennachzug: serves ueber die siebzig Leitplanken
481	CHORE-343	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Die fuenf verbleibenden Zielbilder schreiben: Memory, Dispatch, Worklist, Verzei
480	CHORE-342	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Document-Service: Zielbild, Adressraum, deklarierte Metadaten und Kanten -- Konz
479	BUG-48	CORE	open	assigned	kumbuka	Produktlinie	1	cluster:CORE	no	create ueberschreibt ein gesendetes Logbuch-Objekt still statt einen Konflikt zu
478	CHORE-341	HK	open	assigned	kumbuka	Architektur	1	hk-heuristic:arch-keyword	yes	Graph-Validator fuer den Architektur-Knotenkorpus bauen — das in Schritt 5 vorge
477	CHORE-340	CORE	done	assigned	kumbuka	Architektur		named-exception:architektur	no	Zweite Runde der Korpusmigration: CON- und Leitplankenknoten, TAR/REA-Spaltung, 
476	CHORE-339	CORE	done	assigned	kumbuka	Architektur		named-exception:architektur	no	Erste Runde der Korpusmigration: VIS-Setzung, Nordstern-Invarianten als REQ, CON
475			new	refused	-			empty-cluster	no	ADR fuer den Verbprozess: wie neue Verben und neue Schemata hinzukommen
474			new	refused	-			empty-cluster	no	Plattform-Datenschicht und der Schnitt Team gegen Mandant
473			new	refused	-			empty-cluster	no	ee-Topologie schneiden: ee-server nach Platform umbenennen, Importer nach ee-mem
472			new	refused	-			empty-cluster	no	ADR-0041 Schema-Menge gegen ADR-0043 in Deckung bringen: audit und event sind do
471			new	refused	-			empty-cluster	no	Fehler der Gedaechtnis-Maschine hinterlassen keine Spur im Log; Fehlerprotokolli
470			new	refused	-			empty-cluster	no	Falscher Kopfkommentar in ee-server zur Konfigurationszusammenfuehrung und die d
469	CHORE-338	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Rueckbau des Gedaechtniscodes aus kumbuka-server samt Abschaltung der alten Tabe
468	FEAT-87	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Umschaltung auf den Gedaechtnisdienst: Schreibstopp auf dem Altspeicher, Kopie d
467	FEAT-86	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	MCP- und REST-Oberflaeche des Gedaechtnisdienstes samt Authentifizierung und dem
466	CHORE-337	CORE	planned	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Drei Reparaturen aus Sprint 154: WITH-CHECK-Begruendung, Hygiene-Gate ohne Satel
465	BUG-47	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Migrations-Callback in kumbuka-server ist nicht registriert und hat keinen Zeuge
464	CHORE-336	CORE	open	assigned	kumbuka	Architektur	5	named-exception:architektur	no	Restarbeit der Extraktion: Artefaktveroeffentlichung von kumbuka-memory und Zuor
463	FEAT-85	DEPLOY	done	assigned	kumbuka	Betrieb	5	cluster:DEPLOY	no	Deployment des leeren Gedaechtnisdienstes: Container-Image, Health-Endpunkt, Gra
462	CHORE-335	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Zielbild der Datenschicht: public auftrennen, Rollen und Eigentum je Schema, Rec
461	BUG-46	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Reichweite des Log-Waechters: nur LOG in Grossbuchstaben wird gesehen, Argumente
460	BUG-45	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Reichweite des Log-Waechters: erzwungenes LOG in Grossbuchstaben und Argumentsch
459	CHORE-334	DEPLOY	open	assigned	kumbuka	Betrieb	1	cluster:DEPLOY	no	release.sh haertet: Umgebungs-Waechter vor dem Rendern, Gesundheit im Effect Gua
458	CHORE-333	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	V22 sammelt die drei Produktions-Handgriffe ein: View-Eigentuemer, Dispatch-Migr
457	BUG-44	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Der Dispatch-Dienst haelt TRUNCATE und TRIGGER auf dem eigenen Schema: TRUNCATE 
456	FEAT-84	CORE	planned	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Plattform-Fassade als eigener Dienst: Schema-Routing ohne eigene Autoritaet, pri
455	BUG-43	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Memory-Dienst antwortet auf den ersten Aufruf mit nacktem Fehler ohne Grund, der
454	CHORE-332	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Zielbild fuer die Plattformschicht: der Lesevertrag, die Fassade, das Audit-Log 
453	BUG-42	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Log-Waechter faengt das erlaubte Wort selector, weil ctor als Substring darin st
452	CHORE-331	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	spec/design/ neu strukturieren: Artefaktklasse statt Zielsystem, eine Handover-F
451	FEAT-83	CORE	planned	assigned	kumbuka	Produktlinie		cluster:CORE	no	Navigationskonzept der Konsole und Scope-Dashboard als Einstieg: erweiterbar um 
450	FEAT-82	CORE	planned	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Worklist-Dienst, Verbflaeche: REST gegen den Verbkatalog und MCP-Adapter als Pro
449	CHORE-330	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Logging-Konvention der Plattformdienste: Ebenen, was eine Zeile tragen darf, und
448			new	refused	-			empty-cluster	no	Generierter Index ueber docs/adr/ und docs/decisions/: welches Papier existiert,
447	CHORE-329	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Post-Mortem des M5-Umbaus: warum der Bestand bei jeder Sitzung Diskrepanzen prod
446	CHORE-328	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	M5-Umsetzungsplan als Dokument: Bauordnung, Lueckenliste des Gatters, rote Probe
445	FEAT-81	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Dispatch-Dienst, Oberflaechenhaelfte: REST-Flaeche gegen den ratifizierten Verbk
444	CHORE-327	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Fassade und einheitliches URI-adressiertes Verbvokabular: Harmonisierung auf ein
443			new	refused	-			empty-cluster	no	Index ueber ADRs und Entscheidungs-Ledger mechanisch generieren statt von Hand p
442	CHORE-326	HK	open	assigned	kumbuka	Architektur	5	hk-heuristic:arch-keyword	yes	Zielbild der Worklist pflegen und in einen ADR zurueckspiegeln
441		CORE	new	assigned	kumbuka	Produktlinie		cluster:CORE	no	Kontextkosten der MCP-Verbflaeche gegen die API messen statt schaetzen
440	CHORE-324	HK	open	assigned	kumbuka	Architektur	5	hk-heuristic:arch-keyword	yes	Zielbild des Dispatch-Dienstes pflegen und in ADR-0042 und ADR-0038 zurueckspieg
439	CHORE-325	HK	open	assigned	kumbuka	Architektur		hk-heuristic:arch-keyword	yes	ADR-Bestand auf hoechstens 30 konsolidieren: neue Nomenklatur, Zuordnungstabelle
438	CHORE-323	HK	done	assigned	kumbuka	Architektur	5	hk-heuristic:arch-keyword	yes	M5-Gatter: Architekturreview und Gap-Analyse nach beiden Dienstspezifikationen, 
437	FEAT-80	CORE	planned	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Ereignis-Log der Steuerungsdienste: Nachweispfad als Ersatz fuer die verschwinde
436	CHORE-322	HK	open	deferred	jbaconsult			hk-heuristic:jba-keyword	yes	kumbuka-server nach kumbuka-memory umbenennen: Submodulpfade, Imagenamen, Matrix
435	CHORE-321	GTM	open	assigned	kumbuka	GTM		cluster:GTM	no	Aussagenschaerfe durchziehen: Formulierung zum Betreiber-Lesezugriff in Position
434	CHORE-320	DEPLOY	open	assigned	kumbuka	Betrieb	5	cluster:DEPLOY	no	Abschaltung des Vorgaengers: REGISTRY.md, state/, alter Dienststapel und Steueru
433	CHORE-319	DEPLOY	open	assigned	kumbuka	Betrieb	5	cluster:DEPLOY	no	Umzug des Bestands: Git-Korpus, Agent-Run-SQLite und die unversionierten Zustand
432	FEAT-79	EE	open	assigned	kumbuka	Produktlinie	5	cluster:EE	no	Worklist Enterprise: Versionierung veraenderlicher Zeilen als Append-on-Write, m
431	FEAT-78	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Worklist-Domaene und Store auf SQL: Zeilen, Nummernraeume pro Scope, Ruecknahme 
430	FEAT-77	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Worklist-Dienstgeruest, Substrathaelfte: eigenes Repository, Quarkus, Schema mit
429	FEAT-76	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Dispatch-Domaene und Store auf SQL: Objektmodell, neun Statuswerte mit einem Ver
428	FEAT-75	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Dispatch-Dienstgeruest, Substrathaelfte: Repository, Quarkus, Schema mit eigener
427	CHORE-318	HK	done	assigned	kumbuka	Architektur	5	hk-heuristic:arch-keyword	yes	Spezifikation Worklist Manager (Stufe 2): 25 Verbenvertraege, veraenderliche Zei
426	CHORE-317	HK	done	assigned	kumbuka	Architektur	5	hk-heuristic:arch-keyword	yes	Spezifikation Logbuch (Stufe 2): 20 Verbenvertraege, Statusmaschine, Invarianten
425	FEAT-74	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Mandantenverzeichnis Stufe 1: Sicht platform.scope_access, lesend fuer die beide
424	CHORE-316	HK	open	assigned	kumbuka	Architektur	2	hk-heuristic:arch-keyword	yes	INDEX-Dateien auf Zeigergroesse zuruecknehmen: Prosa gehoert in das Dokument, de
423	CHORE-315	HK	done	deferred	jbaconsult			hk-heuristic:jba-keyword	yes	M5 planen: Spezifikation als erste Etappe der Neuimplementierung, Meilensteinzer
422	BUG-41	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Logbuch: Paar-Invariante am Uebergang statt am Gate pruefen, terminale Sackgasse
421	CHORE-314	CORE	open	assigned	kumbuka	Produktlinie	2	cluster:CORE	no	Projektanweisung auf den Bootstrap-Kern reduzieren, den Rest als Kontext-Dokumen
420	CHORE-313	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Worklist Manager: enumerierte Spaltenvokabulare aus dem Code in eine externe Kon
419	CHORE-312	HK	done	assigned	kumbuka	Architektur		hk-heuristic:arch-keyword	yes	Kumbuka als Plattform definieren: ein Produkt aus drei Diensten, Meilensteinachs
418	FEAT-73	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Logbook: Agentenlog als zweite Datenquelle (SQLite), drei MCP-Verben und Viewer-
417	BUG-40	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Worklist-Store: Schreib-/Commit-Paar auf dieselbe Teilwirksamkeit pruefen wie BU
416	BUG-39	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Logbook: Sparsity eines bestehenden Clones driftet gegen roots, und ein Schreibv
415	CHORE-310	HK	open	assigned	kumbuka	Agenten-Entwicklung		named-exception:agenten	no	Product-Owner-Agent: Auftragslage der vier Agenten (Visions-, Planungs-, Backlog
414	F-0244	HK	observing	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	In der Ref-Spalte lebt eine ältere Meilenstein-Nummerierung weiter und kollidier
413	F-0243	HK	observing	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Der Task-Anker eines Dispatch wird auf Anwesenheit geprüft, nicht auf Auflösbark
412	F-0242	HK	observing	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Logbuch und Worklist teilen sich einen HEAD: ein Logbuch-Schreibvorgang invalidi
411	BUG-38	HK	open	assigned	kumbuka	Produktlinie	1	hk-heuristic:default-hygiene	yes	Doppelt belegte Entscheidungs-ID: Positionspapier schlaegt team_id-Seam als prop
410	BUG-37	CORE	open	assigned	kumbuka	Produktlinie	1	cluster:CORE	no	Werkzeugbeschreibung von memory_recall widerspricht D-CORE-5.1: verschweigt die 
409		HK	new	assigned	kumbuka	Architektur		hk-heuristic:arch-keyword	yes	Steuerungsarbeit in ein eigenes Korpus trennen: Multi-Corpus statt handgepflegte
408		CORE	new	assigned	kumbuka	Produktlinie		cluster:CORE	no	Angenommene und still verworfene Parameter an den Steuerungsdiensten: entweder w
407		CORE	new	assigned	kumbuka	Produktlinie		cluster:CORE	no	Schreibzeit im Logbuch-Viewer zeigt den ersten statt den letzten Commit und vers
406		CORE	new	assigned	kumbuka	Produktlinie		cluster:CORE	no	amend-Verb fuer Returns mit sichtbarer Naht: Koerper ersetzbar, Reparatur im Obj
405		HK	new	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Archiv als Senke wiederaufbauen: erledigte Zeilen bei 1 MB Dateigroesse per Verb
404		HK	new	deferred	jbaconsult			hk-heuristic:jba-keyword	yes	Terminierungsstufe in session-closure: Merge pruefen, Worklist-Zeilen schliessen
403		HK	new	assigned	kumbuka	Architektur		hk-heuristic:arch-keyword	yes	Migrationslauf absichern: stdout ist der Datenkanal, Diagnose gehoert auf stderr
402		HK	new	assigned	kumbuka	Architektur		hk-heuristic:arch-keyword	yes	v2-nach-v3-Migration retiren: toter Pfad, der bei jeder Schema-Aenderung Arbeit 
401		SEC	new	assigned	kumbuka	Produktlinie		cluster:SEC	no	Messen, ob vor dem Schreib-Endpunkt des Worklist-Viewers eine Authentifizierung 
400	CHORE-311	CORE	dropped	assigned	kumbuka	Produktlinie		cluster:CORE	no	Provenance in der Commit-Nachricht: welcher Kanal und welcher Akteur die Zeile g
399		CORE	new	assigned	kumbuka	Produktlinie		cluster:CORE	no	Meilenstein im Viewer anlegen und pflegen: Formular mit Vision und Mission
398		CORE	new	assigned	kumbuka	Produktlinie		cluster:CORE	no	Reihenfolge als Ganzes speichern: ein Verb, ein Commit, Konflikt-Token gegen Fre
395	CHORE-309	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Worklist-Viewer auf drei Seiten: Iterationen als Startseite, Meilensteine und Ba
394	CHORE-308	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Logbuch-Viewer Suchleiste: Platzhalter wird abgeschnitten, Hilfszeile doppelt ih
393	CHORE-307	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Logbuch-Viewer mobil verdichten: Kopfzeile auf Icons, Detailansicht nutzt die vo
392	CHORE-306	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Logbuch-Viewer: neueste Objekte oben, Schreibzeit aus Git an jedem Element, Spri
391	BUG-36	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Logbuch-Viewer mobil unbenutzbar: Detail-Dialog nicht schliessbar, Zurueck-Butto
390	CHORE-305	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Rolle im Objektmodell wirksam machen: adressierte Aktivierung, rollenabhaengige 
389	FEAT-72	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Planungsebene oberhalb des Sprints: Tasks kuratiert auf Themen mappen, Backlog b
388	FEAT-71	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Reihenfolge-Transparenz: berechneter Rang vs. explizite Position, Re-Sortierverb
387	BUG-35	DEPLOY	open	assigned	kumbuka	Betrieb		cluster:DEPLOY	no	Host-Checkout wird nicht mit dem SOLL materialisiert — Topologie und Versionsmat
386	FEAT-70	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Logbuch-Import des Altbestands: Findings ja, Sprint-Records nein — Nomenklatur-U
385	CHORE-304	HK	done	deferred	jbaconsult			hk-heuristic:jba-keyword	yes	session-closure und code-handover auf die Steering-Dienste umstellen (Logbuch-Ob
384	BUG-34	CORE	done	assigned	kumbuka	Produktlinie		cluster:CORE	no	Validierungs-Reichweite: Ganzbestand-Vorabpruefung sperrt den Schreibpfad — auf 
383		HK	dropped	assigned	kumbuka	Architektur		hk-heuristic:arch-keyword	yes	closure.py entfernen, sobald das Logbuch deployed ist und die Worklist-Haelfte d
382	CHORE-303	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Next-Version zwischen package.json, Lockfile und CI abgleichen: lokaler Dev-Serv
381	CHORE-302	HK	done	assigned	kumbuka	Architektur		hk-heuristic:arch-keyword	yes	Sammeldateien fuer Chores und Bugs aufloesen: eine Datei pro Task, Name mechanis
380	CHORE-301	HK	done	assigned	kumbuka	Architektur		hk-heuristic:arch-keyword	yes	Titelgrenze im Schema von 150 auf 300 Zeichen anheben, im gemeinsamen Kern veror
379	CHORE-300	HK	done	assigned	kumbuka	Architektur		hk-heuristic:arch-keyword	yes	Worklist-Haelfte von D-STEER-9: duenne F-Zeile mit Vokabular observing/dissolved
378	CHORE-299	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Abbruchregel fuer den Investitionsanteil der Steuerungsschicht festlegen: messba
377	CHORE-298	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Disposition der 19 Zeilen auf active: Statuswert bereinigen, nachdem er seinen R
376	CHORE-297	HK	open	deferred	jbaconsult			hk-heuristic:jba-keyword	yes	Skill-Drift-Waechter fuer session-start: die fixen Sektionen wandern ins Skill, 
375	CHORE-296	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Transaktionalitaet des halben Closure als ratifizierte Klausel in D-STEER-4 nach
374	CHORE-295	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Runbook-Konventionen: kein set -e in eingefuegten Bloecken, kein grep -c mit Fal
373	CHORE-294	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	fs-write-Disziplin: Schreibvorgaenge in Submodule brauchen eine externe Pruefung
372	CHORE-293	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Infra-Strang fuer das Logbuch: Matrixzeile, Compose-Dienst, Caddy-Snippet in sit
371	CHORE-292	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Sparse-Checkout auf Inklusionswurzeln umstellen: Logbuch-Klon sprints/ und findi
370	CHORE-291	HK	done	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Sortierordnung nach D-STEER-6: active aus dem Sortierschluessel, (not-P1, Cluste
369	CHORE-290	HK	done	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	BFF und Web-UI haben keinen ratify-Pfad: eine Zeile kommt in der Oberflaeche nic
368	FEAT-69	HK	done	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Worklist-Manager Webinterface und JSON-BFF gebaut, als v0.2.0 released und auf w
367			new	refused	-			empty-cluster	no	Skills liegen ausserhalb jeder Ground-Truth-Messung: nicht im Steering-Repo, nic
366			new	refused	-			empty-cluster	no	Vier Skills sind nach dem Umbau von Sprint 132 sachlich falsch: session-closure 
365			new	refused	-			empty-cluster	no	Kein CI-Job uebt die Realm-Import-Skip-Bedingung: docker build smoke baut nur da
364			new	refused	-			empty-cluster	no	code-handover-Skill nachschaerfen: SonarQube wird pauschal fuer jeden Code-PR un
363	CHORE-289	HK	done	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	CLI hat keinen Push-Pfad: --commit schreibt nur lokal, ohne Push laeuft der Klon
362			new	refused	-			empty-cluster	no	Redirect-URI des wlm-mcp-Clients traegt einen Wildcard-Stern (claude.ai/api/mcp/
361	CHORE-288	HK	done	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Dienst-Zustand state/ neben den Steering-Klon legen: eigener state_dir-Parameter
360	CHORE-287	HK	done	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Stale Kommentarkopf in deploy/compose.yml: behauptet eigenen Stack, Dienst laeuf
359	CHORE-286	HK	done	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	ratify-Sperre im Dienstmodus aufgehoben: gebaut in PR #8, deployed mit v0.2.0, L
358	CHORE-285	HK	done	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	MCP-Oberflaeche vervollstaendigen: pull, delete und ratify mit Schema-Feldern du
357	CHORE-233	SEC	open	assigned	kumbuka	Produktlinie	1	cluster:SEC	no	Harness und CI-Gate scharfschalten: vier test.skip-Guards, CI ruft nur --grep @g
356	CHORE-234	SEC	open	assigned	kumbuka	Produktlinie	1	cluster:SEC	no	Raw-SQL-Tripwire auf die angewandte Annotation prüfen statt auf Dateitext: Subst
355	CHORE-235	SEC	open	assigned	kumbuka	Produktlinie	1	cluster:SEC	no	Wächter für die BDSG-Randbedingung: die Abwesenheit von Throttle-Event-Tabelle u
354	BUG-28	SEC	open	assigned	kumbuka	Produktlinie	1	cluster:SEC	no	Tenant-Purge verschluckt SQLException: vier DELETE im catch(ignored), ohne Zeile
353	BUG-29	SEC	planned	assigned	kumbuka	Produktlinie	1	cluster:SEC	no	Operator-Löschung schreibt zwei member.erase-Auditzeilen mit verschiedenen Paylo
352	BUG-30	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	changeTier lässt status beim Upsert unangetastet: status wird nur beim ersten In
351	BUG-31	BETA	open	assigned	kumbuka	Produktlinie		cluster:BETA	no	Onboarding-Write ist serverseitig ein No-op, der Wizard öffnet nach jedem Login 
350	CHORE-238	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Provider-Backend-Reste: gemountete Connector-create-Route wirft bedingungslos; O
349	CHORE-239	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Konsolen-Hygiene: Dockerfile-Fallback entwertet --frozen-lockfile, Design-Tokens
348	CHORE-240	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Doku- und Metadaten-Drift Runde zwei: keycloakVersion-Pin, inerte CONNECTOR_CLIE
347	CHORE-241	DEPLOY	open	assigned	kumbuka	Betrieb		cluster:DEPLOY	no	Wildcard-TLS-Phantom: die deSEC-Maschinerie zeigt auf caddy/sites/wildcard.caddy
346	CHORE-248	HK	done	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	closure.py: Queue-nach-Backlog-Demote als Manifest-Operation, plus harte fail-cl
345	CHORE-246	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	Dispatch-Vertrag korrigieren: Sonar gilt nur für provisionierte Submodule, und d
344	CHORE-247	HK	open	deferred	jbaconsult			hk-heuristic:jba-keyword	yes	Worktree-Isolation paralleler Code-Sub-Sprints: Submodul-Disjunktheit ist notwen
343	CHORE-244	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	MemoryKeyValidator Javadoc zitiert den memory_key_format-CHECK als V14, real ist
342	CHORE-245	HK	open	assigned	kumbuka	Produktlinie		hk-heuristic:default-hygiene	yes	ee-server sonar-project.properties führt das importer-Modul nicht in sources/tes
341	FEAT-50	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Mnemonic-Importer (Server-LLM-Extraktion, D-CORE-19): Steuerungs-Doc → typisiert
